workstream,bucket,source,title,url,parent_url,saved_path,status,detail,size_bytes,content_type,collected_at_utc
busca2a,bibliographic_oa,pubmed,Consumer perceptions of healthy and sustainable eating.,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9D88FF4366CCFAEDF0BC9174A827CBB5/S0029665124004853a.pdf/div-class-title-consumer-perceptions-of-healthy-and-sustainable-eating-div.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2024__consumer-perceptions-of-healthy-and-sustainable-eating__10-1017-s0029665124004853.pdf,downloaded,application/pdf,497719,application/pdf,2026-05-03T10:45:53+00:00
busca2a,bibliographic_oa,pubmed,"Ultraprocessed or minimally processed diets following healthy dietary guidelines on weight and cardiometabolic health: a randomized, crossover trial.",https://www.nature.com/articles/s41591-025-03842-0.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2025__ultraprocessed-or-minimally-processed-diets-following-healthy-dietary-__10-1038-s41591-025-03842-0.pdf,downloaded,application/pdf,1561699,application/pdf,2026-05-03T10:45:57+00:00
busca2a,bibliographic_oa,pubmed,Utilization of the Healthy Eating Index in Cystic Fibrosis.,https://erj.ersjournals.com/content/erj/34/6/1322.full.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2022__utilization-of-the-healthy-eating-index-in-cystic-fibrosis__10-1183-09031936-00044009.pdf,failed,403 Client Error: Forbidden for url: https://publications.ersnet.org/content/erj/erj/34/6/1322.full.pdf,0,,2026-05-03T10:45:59+00:00
busca2a,bibliographic_oa,pubmed,Dietary Fiber and Telomere Length in 5674 U.S. Adults: An NHANES Study of Biological Aging.,https://academic.oup.com/ajcn/article-pdf/71/4/921/23938468/921.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2018__dietary-fiber-and-telomere-length-in-5674-u-s-adults-an-nhanes-study-o__10-1093-ajcn-71-4-921.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/ajcn/article-pdf/71/4/921/23938468/921.pdf,0,,2026-05-03T10:45:59+00:00
busca2a,bibliographic_oa,pubmed,The importance of nutrition in pregnancy and lactation: lifelong consequences.,https://adc.bmj.com/content/archdischild/107/7/644.full.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2022__the-importance-of-nutrition-in-pregnancy-and-lactation-lifelong-conseq__10-1136-archdischild-2021-3231.pdf,failed,403 Client Error: Forbidden for url: https://adc.bmj.com/content/archdischild/107/7/644.full.pdf,0,,2026-05-03T10:45:59+00:00
busca2a,bibliographic_oa,pubmed,Advantages and Limitations of the Body Mass Index (BMI) to Assess Adult Obesity.,https://academic.oup.com/jcem/article-pdf/102/6/1934/17665080/jc.2016-3346.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2024__advantages-and-limitations-of-the-body-mass-index-bmi-to-assess-adult-__10-1210-jc-2016-3346.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/jcem/article-pdf/102/6/1934/17665080/jc.2016-3346.pdf,0,,2026-05-03T10:45:59+00:00
busca1,bibliographic_oa,pubmed,Cropland Footprints of Australian Dietary Choices.,https://www.pnas.org/content/pnas/116/46/23202.full.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca1\NUTEV__busca1__bibliographic-oa__pubmed__2020__cropland-footprints-of-australian-dietary-choices__10-1073-pnas-1905618116.pdf,failed,403 Client Error: Forbidden for url: https://www.pnas.org/content/pnas/116/46/23202.full.pdf,0,,2026-05-03T10:46:00+00:00
busca2a,bibliographic_oa,pubmed,Adherence to the nutritional recommendations according to diabetes status in Korean adults: a cross-sectional study.,https://www.e-epih.org/upload/pdf/epih-36-e2014009.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2024__adherence-to-the-nutritional-recommendations-according-to-diabetes-sta__10-4178-epih-e2014009.pdf,downloaded,application/pdf,324136,application/pdf,2026-05-03T10:46:04+00:00
busca2a,bibliographic_oa,pubmed,Risk factors for type 2 diabetes mellitus: An exposure-wide umbrella review of meta-analyses.,https://academic.oup.com/hmg/article-pdf/25/17/3877/24337900/ddw226.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2018__risk-factors-for-type-2-diabetes-mellitus-an-exposure-wide-umbrella-re__10-1093-hmg-ddw226.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/hmg/article-pdf/25/17/3877/24337900/ddw226.pdf,0,,2026-05-03T10:46:04+00:00
busca2a,bibliographic_oa,pubmed,A Systematic Review of Worldwide Consumption of Ultra-Processed Foods: Findings and Criticisms.,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C6929E44E055B8805FDFA1289E8BA95C/S0029665118002513a.pdf/div-class-title-food-processing-criteria-for-dietary-guidance-and-public-health-div.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2021__a-systematic-review-of-worldwide-consumption-of-ultra-processed-foods-__10-1017-s0029665118002513.pdf,downloaded,application/pdf,1992013,application/pdf,2026-05-03T10:46:05+00:00
busca2a,bibliographic_oa,pubmed,Impact of Genes and Environment on Obesity and Cardiovascular Disease.,https://academic.oup.com/endo/article-pdf/160/1/81/27239770/en.2018-00591.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2019__impact-of-genes-and-environment-on-obesity-and-cardiovascular-disease__10-1210-en-2018-00591.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/endo/article-pdf/160/1/81/27239770/en.2018-00591.pdf,0,,2026-05-03T10:46:05+00:00
busca2a,bibliographic_oa,pubmed,Cross-sectional associations between Mediterranean diet and body composition in preschool children. CORAL study.,https://zaguan.unizar.es/record/161719/files/texto_completo.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2025__cross-sectional-associations-between-mediterranean-diet-and-body-compo__10-1111-ijpo-70014.pdf,downloaded,application/pdf,715175,application/pdf,2026-05-03T10:46:08+00:00
busca2a,bibliographic_oa,pubmed,Management of the metabolic syndrome and type 2 diabetes through lifestyle modification.,https://academic.oup.com/her/article-pdf/25/2/211/1921594/cyn032.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2009__management-of-the-metabolic-syndrome-and-type-2-diabetes-through-lifes__10-1093-her-cyn032.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/her/article-pdf/25/2/211/1921594/cyn032.pdf,0,,2026-05-03T10:46:09+00:00
busca2a,bibliographic_oa,pubmed,Effect of a Nutritional and Behavioral Intervention on Energy-Reduced Mediterranean Diet Adherence Among Patients With Metabolic Syndrome: Interim Analysis of the PREDIMED-Plus Randomized Clinical Trial.,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F9578EE9772B4B9B83CD1F5D06D39504/S1368980018003750a.pdf/div-class-title-the-effectiveness-of-dietary-workplace-interventions-a-systematic-review-of-systematic-reviews-div.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2019__effect-of-a-nutritional-and-behavioral-intervention-on-energy-reduced-__10-1017-s1368980018003750.pdf,downloaded,application/pdf,277449,application/pdf,2026-05-03T10:46:10+00:00
busca1,bibliographic_oa,crossref,Estilo de vida saudável em São Paulo,http://www.teses.usp.br/teses/disponiveis/6/6132/tde-06102014-082146/publico/TatianeKosimenkoFerrari.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca1\NUTEV__busca1__bibliographic-oa__crossref__None__estilo-de-vida-saudável-em-são-paulo__10-11606-d-6-2014-tde-06102014.pdf,downloaded,application/pdf,1796765,application/pdf,2026-05-03T10:46:11+00:00
busca1,bibliographic_oa,crossref,Suplemento do Simpósio de Medicina do Estilo de Vida,https://rmmg.org/content/imagebank/pdf/v33s04.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca1\NUTEV__busca1__bibliographic-oa__crossref__2023__suplemento-do-simpósio-de-medicina-do-estilo-de-vida__10-5935-2238-3182-v33supl-4.pdf,downloaded,application/pdf,1456514,application/pdf,2026-05-03T10:46:13+00:00
busca1,bibliographic_oa,crossref,Consumo alimentar e estilo de vida: um estudo longitudinal com estudantes universitários,http://www.teses.usp.br/teses/disponiveis/11/11141/tde-09062016-155553/publico/Gabrielle_Aparecida_Cardoso_versao_revisada.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca1\NUTEV__busca1__bibliographic-oa__crossref__None__consumo-alimentar-e-estilo-de-vida-um-estudo-longitudinal-com-estudant__10-11606-t-11-2016-tde-0906201.pdf,downloaded,application/pdf,2057891,application/pdf,2026-05-03T10:46:15+00:00
busca1,bibliographic_oa,ddg_web,PDF Guia Alimentar Para a População Brasileira,https://www.fao.org/fileadmin/user_upload/red-icean/docs/Gu%C3%ADas%20alimentarias%20Brasile%C3%B1as%20para%20consulta%20publica.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca1\NUTEV__busca1__bibliographic-oa__ddg-web__nd__pdf-guia-alimentar-para-a-população-brasileira__11245a6517995873.pdf,downloaded,application/pdf,2572187,application/pdf,2026-05-03T10:46:16+00:00
busca2a,bibliographic_oa,pubmed,"Development of the food-based Lifelines Diet Score (LLDS) and its application in 129,369 Lifelines participants.",https://pure.rug.nl/ws/files/65967432/PCVinke_Revised_manuscript_Lifelines_Diet_Score_figures_tables_.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2018__development-of-the-food-based-lifelines-diet-score-llds-and-its-applic__10-1038-s41430-018-0205-z.pdf,downloaded,application/pdf,1072813,application/pdf,2026-05-03T10:46:18+00:00
busca2a,bibliographic_oa,pubmed,Adherence to the Mediterranean diet among adults in Mediterranean countries: a systematic literature review.,https://bmjopen.bmj.com/content/bmjopen/8/2/e019033.full.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2022__adherence-to-the-mediterranean-diet-among-adults-in-mediterranean-coun__10-1136-bmjopen-2017-019033.pdf,failed,403 Client Error: Forbidden for url: https://bmjopen.bmj.com/content/bmjopen/8/2/e019033.full.pdf,0,,2026-05-03T10:46:18+00:00
busca1,web_direct_docs,ddg-web,aqui,https://sau.usp.br/wp-content/uploads/sites/646/2024/07/guia_alimentar_populacao_brasileira_2ed.pdf,https://sau.usp.br/guia-alimentar-para-a-populacao-brasileira/,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03B_web_direct_docs\busca1\NUTEV__busca1__web-direct-docs__ddg-web__nd__aqui__2374f18ea7e3bdf0.pdf,downloaded,application/pdf,4399651,application/pdf,2026-05-03T10:46:22+00:00
busca1,web_direct_docs,ddg-web,PDF Guia Alimentar Para a População Brasileira,https://www.fao.org/fileadmin/user_upload/red-icean/docs/Gu%C3%ADas%20alimentarias%20Brasile%C3%B1as%20para%20consulta%20publica.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03B_web_direct_docs\busca1\NUTEV__busca1__web-direct-docs__ddg-web__nd__pdf-guia-alimentar-para-a-população-brasileira__20d6167e2b38e386.pdf,downloaded,application/pdf,2572187,application/pdf,2026-05-03T10:46:23+00:00
